Class;Room;Theme;;
7G;006;Charlie és a csokoládégyár;;
8G;101;Frankenstein;;
9A;304;Beszterce ostroma;;
9C;114;Holt Költők Társasága;;
9D;103;Alkonyat;;
9EF;201;Notre Dame;;
9G;218;Drakula;;
9KNY;405;Dionüszosz: Isten ünnepe;;
10A;004;Toldi;;
10C;105;Narnia Krónikái;;
10D;203;Magyar népmesék;;
10IF;111;Rómeó és Júlia;;
10G;402;Biblia;;
11A;216;A nagy Gatsby;;
11C;211;A kis herceg;;
11D;112;Az Éhezők Viadala;;
11G;204;Alice Csodaországban;;
11IF;208;A helység kalapácsa;;
12A;301;A Gyűrűk Ura;;
12C;214;Isteni színjáték;;
12D;209;Az ember tragédiája;;
12G;113;A Pál utcai fiúk;;
12IF;206;Harry Potter;;
